salary,companySize,district,work_year,company_name,position_name,positionAdvantage
10k-20k,50-150人,海淀区,1-3年,杭州编程少年教育科技有限公司,python编程老师（北京）,团队氛围好，福利待遇好，领导好
35k-55k,500-2000人,朝阳区,3-5年,炫一下（北京）科技有限公司,Python研发工程师,"硕士最好,不加班,18薪,有期权"
20k-35k,2000人以上,海淀区,3-5年,veritas.com,（高级）软件工程师-Python/Java,外企氛围，行业Leader，技术水平突出
15k-25k,50-150人,朝阳区,3-5年,智线云科技（北京）有限公司,Python 中级工程师,带薪年假+福利多+办公环境好+氛围自由开放
15k-30k,50-150人,朝阳区,1-3年,北京小龙虾科技有限公司,Python系统开发工程师,"六险一金,灵活工作制,技术分享,晋升渠道"
20k-40k,2000人以上,大兴区,5-10年,京东金融,高级Python开发工程师,"班车,餐补"
15k-30k,50-150人,朝阳区,1年以下,北京云英传奇技术有限公司,Python研发工程师,扁平管理 发展好
15k-30k,2000人以上,海淀区,1-3年,小船出海教育科技（北京）有限公司,python开发工程师,"行业领先者,深入业务,技术大牛"
20k-35k,150-500人,朝阳区,1-3年,北京向上一心科技有限公司,Python开发工程师,"六险一金,绩效奖金,发展空间大,股票期权"
10k-18k,500-2000人,海淀区,3-5年,北京南天软件有限公司,Python开发工程师,"五险一金,年终奖金,带薪年假,交补话补"
15k-25k,2000人以上,海淀区,3-5年,北京车之家信息技术有限公司,python工程师,"平台好,发展空间大"
20k-40k,500-2000人,海淀区,1-3年,北京智者天下科技有限公司,Python开发,"三餐,健身房,mac"
20k-35k,50-150人,朝阳区,不限,北京小龙虾科技有限公司,python工程师,"免费中晚餐,下午茶,六险一金,扁平化管理"
15k-30k,150-500人,朝阳区,1-3年,北京刷刷看网络科技有限公司,Python工程师,"地铁周边,移动社交,牛人大咖多,新兴行业"
20k-40k,50-150人,朝阳区,3-5年,永杨安风（北京）科技有限公司,python工程师,"六险一金,工作居住证,扁平管理"
18k-35k,150-500人,海淀区,3-5年,星辰天合（北京）数据科技有限公司,存储应用开发工程师-Java/GO/Python,"完善福利,人性化管理,扁平化管理"
18k-36k,150-500人,海淀区,不限,北京春雨天下软件有限公司,python,"弹性工作制,技术氛围好,感谢基金,精英团队"
15k-25k,150-500人,海淀区,3-5年,北京小度互娱科技有限公司,Python开发工程师,"团队优秀,福利优厚"
15k-25k,50-150人,通州区,3-5年,北京中谷金科信息技术有限公司,高级Python工程师,"互联网金融,大数据,量化开发,自主性强"
